URL,Status,RedirectTarget,Title,Canonical,OgUrl,HasMetaKeywords,Notes
"http://mypasswordchecker.com/","200","","Password Strength Checker - Free Online Tool & Quantum Test","https://mypasswordchecker.com/","https://mypasswordchecker.com/","yes","DUPLICATE SCHEME: plain HTTP serves 200 — Always Use HTTPS appears OFF"
"https://mypasswordchecker.com/","200","","Password Strength Checker - Free Online Tool & Quantum Test","https://mypasswordchecker.com/","https://mypasswordchecker.com/","yes","Title in <title> disagrees with og:title on live page per DESIGN review; keywords meta present"
"https://mypasswordchecker.com/about","200","","About & FAQ - MyPasswordChecker.com","https://mypasswordchecker.com/about","","no","No og:url"
"https://mypasswordchecker.com/about.html","307","/about","About & FAQ - MyPasswordChecker.com","https://mypasswordchecker.com/about","","no","307 TEMPORARY not 301 (Workers Static Assets html_handling)"
"https://mypasswordchecker.com/api-docs","200","","API Documentation - MyPasswordChecker.com","https://mypasswordchecker.com/api-docs","https://mypasswordchecker.com/api-docs.html","no","og:url points at .html variant; D2: merges into /docs"
"https://mypasswordchecker.com/api-docs.html","307","/api-docs","API Documentation - MyPasswordChecker.com","https://mypasswordchecker.com/api-docs","https://mypasswordchecker.com/api-docs.html","no","307 temporary"
"https://mypasswordchecker.com/dashboard","200","","Developer Dashboard - MyPasswordChecker.com","","","no","INDEXABLE: no X-Robots-Tag, no canonical — Phase 1 Transform Rule needed"
"https://mypasswordchecker.com/dashboard.html","307","/dashboard","Developer Dashboard - MyPasswordChecker.com","","","no","307 temporary"
"https://mypasswordchecker.com/dashboard.html?action=quantum_purchase","307","/dashboard?action=quantum_purchase","","","","no","Query string preserved through redirect"
"https://mypasswordchecker.com/disclaimer","200","","Quantum Estimate Disclaimer - MyPasswordChecker.com","https://mypasswordchecker.com/disclaimer","","no","No og:url"
"https://mypasswordchecker.com/disclaimer.html","307","/disclaimer","Quantum Estimate Disclaimer - MyPasswordChecker.com","https://mypasswordchecker.com/disclaimer","","no","307 temporary"
"https://mypasswordchecker.com/docs","200","","Developer Documentation - MyPasswordChecker.com","https://mypasswordchecker.com/docs","","no","D2 winner of /api-docs merge; no og:url"
"https://mypasswordchecker.com/docs.html","307","/docs","Developer Documentation - MyPasswordChecker.com","https://mypasswordchecker.com/docs","","no","307 temporary"
"https://mypasswordchecker.com/domains","200","","Domain &amp; IP Verification - MyPasswordChecker.com","","","no","No canonical, no og:url; dashboard-adjacent utility page — not in sitemap plan"
"https://mypasswordchecker.com/domains.html","307","/domains","Domain &amp; IP Verification - MyPasswordChecker.com","","","no","307 temporary"
"https://mypasswordchecker.com/free-password-checker","200","","How Strong Is My Password? Free Password Strength Test","https://mypasswordchecker.com/free-password-checker","https://mypasswordchecker.com/free-password-checker.html","yes","D3: merges into / via 301; og:url points at .html; keywords meta present"
"https://mypasswordchecker.com/free-password-checker.html","307","/free-password-checker","How Strong Is My Password? Free Password Strength Test","https://mypasswordchecker.com/free-password-checker","https://mypasswordchecker.com/free-password-checker.html","yes","307 temporary"
"https://mypasswordchecker.com/generate-phonetic","200","","Phonetic Password Generator - MyPasswordChecker.com","https://mypasswordchecker.com/generate-phonetic","https://mypasswordchecker.com/generate-phonetic.html","no","ORPHAN PAGE: only reachable via JS onclick button on homepage (index.html:290) + its own footer — absent from crawlable link graph; og:url points at .html"
"https://mypasswordchecker.com/generate-phonetic.html","307","/generate-phonetic","Phonetic Password Generator - MyPasswordChecker.com","https://mypasswordchecker.com/generate-phonetic","https://mypasswordchecker.com/generate-phonetic.html","no","307 temporary; same document as clean URL"
"https://mypasswordchecker.com/index.html","307","/","Password Strength Checker - Free Online Tool & Quantum Test","https://mypasswordchecker.com/","https://mypasswordchecker.com/","yes","307 temporary"
"https://mypasswordchecker.com/numbers","200","","","","","no","Ad-funnel analytics page — intentionally unlinked, key-gated; DO NOT TOUCH (global rule 2); not head-parsed"
"https://mypasswordchecker.com/password-api","200","","Password API for Developers | MyPasswordChecker","https://mypasswordchecker.com/password-api","https://mypasswordchecker.com/password-api.html","yes","og:url points at .html; keywords meta present"
"https://mypasswordchecker.com/password-api.html","307","/password-api","Password API for Developers | MyPasswordChecker","https://mypasswordchecker.com/password-api","https://mypasswordchecker.com/password-api.html","yes","307 temporary"
"https://mypasswordchecker.com/premium","200","","Free Quantum Password Tools — Phonetic + Breach Check","https://mypasswordchecker.com/premium","https://mypasswordchecker.com/premium","no","og:url matches canonical (good)"
"https://mypasswordchecker.com/premium.html","307","/premium","Free Quantum Password Tools — Phonetic + Breach Check","https://mypasswordchecker.com/premium","https://mypasswordchecker.com/premium","no","307 temporary"
"https://mypasswordchecker.com/pricing","200","","API Pricing - MyPasswordChecker.com","https://mypasswordchecker.com/pricing","https://mypasswordchecker.com/pricing.html","no","og:url points at .html"
"https://mypasswordchecker.com/pricing.html","307","/pricing","API Pricing - MyPasswordChecker.com","https://mypasswordchecker.com/pricing","https://mypasswordchecker.com/pricing.html","no","307 temporary"
"https://mypasswordchecker.com/privacy","200","","Privacy Policy - MyPasswordChecker.com","https://mypasswordchecker.com/privacy","","no","No og:url"
"https://mypasswordchecker.com/privacy.html","307","/privacy","Privacy Policy - MyPasswordChecker.com","https://mypasswordchecker.com/privacy","","no","307 temporary"
"https://mypasswordchecker.com/security","200","","Privacy & Security Architecture - MyPasswordChecker.com","https://mypasswordchecker.com/security","https://mypasswordchecker.com/security.html","yes","og:url points at .html; keywords meta present"
"https://mypasswordchecker.com/security.html","307","/security","Privacy & Security Architecture - MyPasswordChecker.com","https://mypasswordchecker.com/security","https://mypasswordchecker.com/security.html","yes","307 temporary"
"https://mypasswordchecker.com/terms","200","","Terms of Service - MyPasswordChecker.com","https://mypasswordchecker.com/terms","","no","No og:url"
"https://mypasswordchecker.com/terms.html","307","/terms","Terms of Service - MyPasswordChecker.com","https://mypasswordchecker.com/terms","","no","307 temporary"
"https://www.mypasswordchecker.com/","200","","Password Strength Checker - Free Online Tool & Quantum Test","https://mypasswordchecker.com/","https://mypasswordchecker.com/","yes","DUPLICATE HOST: www serves 200 with no redirect to apex — Phase 1 rule #1 needed"
